id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2762537,6063232,4/23/13,f,9,11,t,District 14,32.81821,-96.78901,Entire rental unit,Entire home/apt,2,1,0,1,$89.0,3,1125,3,3,1125,1125,3,1125,t,0,0,0,184,81,8,0,5/10/14,12/29/23,4.72,4.74,4.84,4.84,4.81,4.94,4.75,t,9,9,0,0,0.68
2800000,7173761,6/28/13,f,2,2,t,District 7,32.77919,-96.76883,Private room in home,Private room,6,1,1,4,$150.0,1,1125,1,1,1125,1125,1,1125,t,30,57,87,177,327,3,0,10/23/16,10/17/23,4.67,4.73,4.34,4.89,4.9,4.6,4.69,f,2,0,1,1,3.66
2843930,3809024,10/9/12,t,4,4,t,District 14,32.8355,-96.77328,Private room in home,Private room,2,1,1,1,$95.0,2,1125,2,2,1125,1125,2,1125,t,0,18,48,323,41,9,0,8/25/14,12/11/23,4.85,4.88,4.85,4.95,4.98,5,4.8,f,3,0,3,0,0.35
2958951,885061,7/28/11,t,3,6,t,District 14,32.79452,-96.78482,Entire home,Entire home/apt,4,2,2,2,$90.0,7,1125,3,11,1125,1125,6.9,1125,t,10,22,35,114,29,3,0,5/25/14,1/7/24,4.69,4.86,4.71,4.93,4.9,4.83,4.83,f,3,3,0,0,0.24
2967263,12993311,3/10/14,f,4,4,t,District 2,32.79924,-96.75774,Private room in home,Private room,2,1,1,1,$70.0,5,100,5,5,100,100,5,100,t,8,30,60,266,46,9,1,10/2/14,2/18/24,4.74,4.83,4.46,4.89,4.91,4.7,4.74,f,4,0,4,0,0.4
2985692,6063232,4/23/13,f,9,11,t,District 14,32.81848,-96.78926,Entire rental unit,Entire home/apt,4,1,1,1,$101.0,3,1125,3,3,1125,1125,3,1125,t,24,51,81,305,59,2,0,6/2/14,12/12/23,4.8,4.86,4.79,4.93,4.79,4.96,4.65,t,9,9,0,0,0.5
2989483,14042475,4/8/14,f,4,8,t,District 7,32.78624,-96.71788,Private room in home,Private room,2,2,1,1,$45.0,31,1025,31,31,1025,1025,31,1025,t,29,59,89,364,19,0,0,8/4/14,7/9/20,4.53,4.37,4.53,4.95,4.79,4.37,4.53,f,4,0,4,0,0.16
3003479,11801188,1/30/14,f,1,6,t,District 2,32.80935,-96.81724,Entire rental unit,Entire home/apt,5,2,2,2,$137.0,1,365,1,1,1125,1125,1,1125,t,20,45,75,337,275,8,2,9/15/14,2/10/24,4.88,4.92,4.95,4.85,4.95,4.86,4.85,f,1,1,0,0,2.39
3143997,15962199,5/25/14,t,1,1,t,District 13,32.9247,-96.82748,Private room in home,Private room,1,1,1,1,$52.0,3,90,3,3,90,90,3,90,t,21,43,73,73,76,13,1,3/18/17,1/25/24,4.96,4.96,4.93,5,5,4.99,4.97,f,1,0,1,0,0.9
3199397,16213597,5/31/14,f,1,1,t,District 9,32.81929,-96.70964,Private room in home,Private room,2,1,1,1,$65.0,2,45,2,2,45,45,2,45,t,1,1,1,2,36,0,0,6/24/14,6/4/18,4.94,4.89,4.97,5,5,4.97,4.97,f,1,0,1,0,0.31
3463371,6063232,4/23/13,f,9,11,t,District 14,32.818684,-96.790154,Entire rental unit,Entire home/apt,3,1,1,1,$111.0,3,1125,3,3,1125,1125,3,1125,t,28,52,82,306,37,3,0,9/30/14,9/25/23,4.73,4.89,4.86,4.73,4.86,4.89,4.65,t,9,9,0,0,0.32
3676585,6324192,5/10/13,t,1,1,t,District 14,32.83104,-96.76606,Entire rental unit,Entire home/apt,4,1,1,3,$97.0,2,1125,2,2,1125,1125,2,1125,t,1,1,1,1,325,25,0,8/17/14,1/15/24,4.83,4.91,4.84,4.91,4.88,4.95,4.8,f,1,1,0,0,2.8
4110844,12321313,2/17/14,f,3,3,t,District 12,32.99339,-96.83601,Private room in home,Private room,2,1,1,1,$84.0,1,1125,1,1,1125,1125,1,1125,t,0,21,51,326,9,0,0,9/24/14,9/4/20,4.56,5,4.86,4.38,4.67,5,4.11,f,2,0,2,0,0.08
4311007,14736042,4/25/14,t,1,4,t,District 14,32.81295,-96.76305,Entire townhouse,Entire home/apt,6,2.5,2,2,$150.0,3,730,3,3,1125,1125,3,1125,t,17,36,66,341,119,13,1,10/19/14,2/17/24,4.93,4.96,4.84,4.93,4.98,4.96,4.89,f,1,1,0,0,1.05
